Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CYBERCITY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
361,WP,23761/2018,2018,201919340,,,,,,,,
362,WP,26129/2018,2018,201919375,,,,,,,,
363,WP,14285/2021,2021,202122348,,,,,,,,
364,WP,28339/2023,2023,202328786,,,,,,,,
365,WP,25647/2023,2023,202328683,,,,,,,,
366,WP,44132/2022,2022,202225008,,,,,,,,
367,WP,34803/2017,2017,201718583,,,,,,,,
368,WP,13545/2012,2012,201616516,,,,,,,,
369,WP,13892/2021,2021,202122337,,,,,,,,
370,WP,13001/2023,2023,202328117,,,,,,,,
371,WP,46/2020,2020,202020281,,,,,,,,
372,WP,44581/2022,2022,202225025,,,,,,,,
373,WP,32898/2023,2023,202329025,,,,,,,,
374,WP,29035/2022,2022,202224690,,,,,,,,
375,WP,5751/2015,2015,201616514,,,,,,,,
376,WP,33377/2014,2014,201616336,,,,,,,,
377,CC,990/2022,2022,202224659,,,,,,,,
378,WP,29722/2023,2023,202328900,,,,,,,,
379,WP,11569/19,2019,201919811,,,,,,,,
380,WP,31642,2013,201514128,,,,,,,,
381,WP,32826/2018,2018,201919259,,,,,,,,
382,WP,8570/2021,2021,202222787,,,,,,,,
383,WP,11858/2019,2019,201920156,,,,,,,,
384,WP,77/2021,2021,202121739,,,,,,,,
385,WP,21323/2018,2018,201919331,,,,,,,,
386,WP,3838/2020,2020,202020483,,,,,,,,
387,WP,32736/2023,2023,202329013,,,,,,,,
388,WP,26664/2023,2023,202328732,,,,,,,,
389,WP,40223/2017,2017,201919213,,,,,,,,
390,WP,13808/2016,2016,201617878,,,,,,,,
391,WP,29944/2022,2022,202224700,,,,,,,,
392,CC,1734/2016,2016,201617995,,,,,,,,
393,WP,843/2020,2020,202020338,,,,,,,,
